block_number,timestamp,pool_units,balance_rune,balance_asset
250000,1599470538,1810285068401,2973349597402,6472085843
250625,1599474019,1810285068401,2973425045887,6472085843
251250,1599477507,1810285068401,3000654977923,6413635662
251875,1599481009,1810285068401,3060475903350,6288794356
252500,1599484515,1810285068401,3060573516574,6288794356
253125,1599488025,1810285068401,3060672014781,6288794356
253750,1599491526,1810285068401,3063807942228,6282577933
254375,1599495027,1810285068401,3063906923376,6282577933
255000,1599498530,1810285068401,3123394511585,6163588962
255625,1599502030,1810285068401,3123504516243,6163588962
256250,1599505535,1810285068401,3123652390704,6163588962
256875,1599509037,1810285068401,3123809066811,6163588962
257500,1599512538,1810285068401,3123964146749,6163588962
258125,1599516039,1810285068401,3124117997442,6163588962
258750,1599519532,1810285068401,3103805581746,6204396614
259375,1599523026,1811235382565,3103961898047,6211989014
260000,1599526517,1811235382565,3104119348121,6211989014
260625,1599530010,1811235382565,3104276535604,6211989014
261250,1599533501,1811235382565,3104433497826,6211989014
261875,1599536990,1811235382565,3104590990880,6211989014
262500,1599540479,1811235382565,3104748810250,6211989014
263125,1599543971,1811235382565,3119843368410,6182463138
263750,1599547463,1811235382565,3092458419729,6238001487
264375,1599550957,1672883898033,2948325484305,5642538656
265000,1599554453,1672883898033,2889834717239,5757702190
265625,1599557943,1672883898033,2819311655059,5902980432
266250,1599561438,1672883898033,2795980969904,5952980432
266875,1599564936,1672883898033,2796246666732,5952980432
267500,1599568429,1672883898033,2796514542170,5952980432
268125,1599571941,1738890778254,3259494334121,5729993755
268750,1599575443,2040027755157,3705235785362,7188142186
269375,1599578950,2046526068305,3718342469674,7213304111
270000,1599582437,2046526068305,3718471098590,7213304111
270625,1599585921,2046526068305,3718603960115,7213304111
271250,1599589404,2046526068305,3718734486647,7213304111
271875,1599592887,2046526068305,3718866891676,7213304111
272500,1599596369,2046526068305,3718998341312,7213304111
273125,1599599851,2046526068305,3684422441051,7281367763
273750,1599603334,2046526068305,3667110277452,7316063063
274375,1599606817,2046526068305,3652999021548,7344624700
275000,1599610298,2046526068305,3653128941689,7344624700
275625,1599613778,2046526068305,3653260520308,7344624700
276250,1599617260,2046526068305,3653391662925,7344624700
276875,1599620742,2046526068305,3653516801165,7344624700
277500,1599624226,2043874466634,3644190880411,7344624700
278125,1599627707,2043874466634,3644321304070,7344624700
278750,1599631190,2043874466634,3609465265350,7415932195
279375,1599634671,2043874466634,3609595986811,7415932195
280000,1599638153,2043874466634,3609724799457,7415932195
280625,1599641634,2043874466634,3609851193807,7415932195
281250,1599645117,2043874466634,3609978592753,7415932195
281875,1599648599,2043874466634,3610106658487,7415932195
282500,1599652082,2043874466634,3610234503569,7415932195
283125,1599655565,2043874466634,3620249333979,7395708932
283750,1599659045,2043874466634,3620376925307,7395708932
284375,1599662535,2043874466634,3637764323033,7360668485
285000,1599666024,2043874466634,3637907266420,7360668485
285625,1599669531,2786372016402,5885815177748,8707403659
286250,1599673041,3412794465791,6241328918840,12749850725
286875,1599676536,3412794465791,6193052801427,12849850725
287500,1599680044,3412794465791,6193245924750,12849850725
288125,1599683535,3413546021104,6196433266280,12849850725
288750,1599687034,3425624917898,6223542517351,12895279368
289375,1599690521,3425624917898,6223739210709,12895279368
290000,1599694008,3425624917898,6226343089527,12890310803
290625,1599697498,3425624917898,6226539872910,12890310803
291250,1599700986,3425624917898,6246595317909,12849377588
291875,1599704478,3425624917898,6246789197347,12849377588
292500,1599707967,3425624917898,6246983397081,12849377588
293125,1599711459,3425624917898,6247176564176,12849377588
293750,1599714971,3425624917898,6247334971584,12849377588
294375,1599718467,3513494733605,6429022951643,13196702494
